area_id,district,ward,status
1,Beja,Memorial,Red
2,Beja,Kipling,Yellow
3,Campania,Dayton,Yellow
4,Beja,Russell,Yellow
5,Beja,Dunning,Red
6,Beja,Granby,Yellow
7,Beja,Cottonwood,Yellow
8,Campania,Straubel,Yellow
9,Beja,Comanche,Yellow
10,Beja,Graedel,Red
11,Durango,Stoughton,Red
12,Beja,Golf,Red
13,Beja,Kenwood,Red
14,Durango,"High Crossing",Red
15,Beja,Birchwood,Red
16,Beja,Bonner,Yellow
17,Beja,"La Follette",Yellow
18,Beja,Elmside,Red
19,Beja,Debs,Red
20,Durango,Oakridge,Yellow
21,Campania,Monica,Yellow
22,Beja,Farragut,Yellow
23,Beja,Hanson,Yellow
24,Durango,Dexter,Red
25,Abruzzi,Arapahoe,Yellow
26,Beja,Union,Red
27,Durango,Sutherland,Red
28,Beja,Leroy,Yellow
29,Beja,Talisman,Red
30,Beja,Southridge,Yellow
