order_id,household_id,shipper_id,name,order_date,status
1,898,155,"Nam nulla.",2021-08-07,Rejected
2,894,170,"Morbi porttitor lorem id ligula.",2021-07-03,Closed
3,106,24,"Nulla facilisi.",2021-07-04,Delivering
4,198,96,"Maecenas rhoncus aliquam lacus.",2021-08-13,New
5,141,17,"Duis at velit eu est congue elementum.",2021-08-10,Accepted
6,306,193,"Nam dui.",2021-07-27,Delivering
7,986,90,"In quis justo.",2021-10-07,Closed
8,855,92,"Nulla facilisi.",2021-07-28,Accepted
9,281,126,"Donec vitae nisi.",2021-07-20,Delivering
10,345,147,"In hac habitasse platea dictumst.",2021-09-03,Delivering
11,794,178,"Morbi non quam nec dui luctus rutrum.",2021-10-20,Accepted
12,801,76,"Curabitur convallis.",2021-09-16,New
13,96,153,"In hac habitasse platea dictumst.",2021-10-11,Accepted
14,620,195,"Proin at turpis a pede posuere nonummy.",2021-08-17,Rejected
15,419,85,"Quisque id justo sit amet sapien dignissim vestibulum.",2021-07-14,Accepted
16,510,65,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2021-10-19,New
17,95,170,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2021-08-08,Closed
18,575,174,"Pellentesque at nulla.",2021-10-13,Delivering
19,264,96,"Etiam justo.",2021-09-17,Rejected
20,507,200,"Aenean lectus.",2021-09-12,Accepted
21,931,64,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2021-07-18,Delivering
22,306,159,"Donec ut dolor.",2021-10-19,Accepted
23,354,126,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2021-09-12,New
24,625,81,"Integer a nibh.",2021-09-19,Accepted
25,590,74,"Vestibulum ac est lacinia nisi venenatis tristique.",2021-08-16,Delivering
26,415,122,"Fusce consequat.",2021-08-28,Accepted
27,440,180,"Fusce consequat.",2021-10-10,Accepted
28,17,59,"Nulla facilisi.",2021-10-13,Closed
29,332,195,"In hac habitasse platea dictumst.",2021-08-04,Accepted
30,587,185,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2021-08-30,Closed
31,90,47,"Nulla suscipit ligula in lacus.",2021-08-13,New
32,273,107,"Nam nulla.",2021-08-18,Rejected
33,211,16,"In congue.",2021-07-27,Rejected
34,977,122,"Nullam sit amet turpis elementum ligula vehicula consequat.",2021-08-03,Delivering
35,769,194,"Proin at turpis a pede posuere nonummy.",2021-08-01,Closed
36,900,49,"Aliquam non mauris.",2021-09-05,Accepted
37,253,109,"Sed ante.",2021-07-11,Closed
38,102,8,"Curabitur in libero ut massa volutpat convallis.",2021-08-27,Closed
